packet_count,avg_packet_size,min_packet_size,max_packet_size,size_range,avg_inter_arrival_sec,duration_sec,bytes_per_sec,traffic_type,synthetic
126,117.24,109.52,160.48,50.95,0.907971,47.738,309.43,interactive_ssh,True
1201,1392.17,1386.31,1393.6,7.28,0.001895,49.455,33808.63,bulk_transfer,True
67,117.27,51.59,142.29,90.7,0.123231,7.725,1017.17,dns_like_burst,True
344,1412.54,1400.95,1423.46,22.51,0.000639,43.261,11232.08,bulk_transfer,True
1962,1238.84,1199.87,1316.06,116.19,0.031958,29.203,83231.94,video_streaming,True
2525,1200.37,1164.63,1213.3,48.68,0.04759,31.452,96365.7,video_streaming,True
112,803.16,797.5,814.23,16.73,0.980938,9.857,9126.18,web_browsing,True
1875,1381.37,1374.58,1400.35,25.76,0.00195,32.81,78941.07,bulk_transfer,True
65,106.22,75.99,109.51,33.52,0.084008,6.65,1038.21,dns_like_burst,True
103,83.03,41.52,117.94,76.42,1.069173,52.596,162.6,interactive_ssh,True
41,75.47,75.4,80.0,4.6,0.085102,3.887,796.1,dns_like_burst,True
2586,1195.15,1137.17,1280.89,143.72,0.0245,59.529,51918.96,video_streaming,True
1217,1246.28,1240.89,1283.37,42.48,0.020586,18.101,83790.16,video_streaming,True
42,135.88,112.25,145.12,32.87,0.015279,13.948,409.15,dns_like_burst,True
2396,1250.56,1207.0,1253.17,46.17,0.01801,39.375,76097.68,video_streaming,True
500,301.36,187.65,454.97,267.32,1.249894,22.587,6671.15,web_browsing,True
1212,1364.95,1361.46,1386.2,24.73,0.000609,51.764,31958.5,bulk_transfer,True
1528,1110.01,1077.3,1166.84,89.54,0.019896,48.406,35039.09,video_streaming,True
21,72.69,26.9,104.3,77.4,0.826468,28.435,53.69,interactive_ssh,True
68,158.64,91.3,169.28,77.98,0.590223,35.042,307.84,interactive_ssh,True
174,122.66,103.72,152.89,49.17,0.78391,58.757,363.24,interactive_ssh,True
1164,1206.89,1150.57,1294.36,143.78,0.038613,38.23,36746.1,video_streaming,True
1809,1196.15,1165.73,1236.59,70.86,0.023736,54.83,39464.55,video_streaming,True
437,873.89,855.35,1183.64,328.3,0.235205,10.014,38135.93,web_browsing,True
1618,1410.51,1395.28,1433.14,37.86,0.002308,27.476,83062.05,bulk_transfer,True
44,121.28,36.28,129.48,93.2,0.550845,45.909,116.23,interactive_ssh,True
35,105.33,94.47,106.76,12.3,0.194242,12.096,304.8,dns_like_burst,True
2065,1229.64,1208.78,1281.53,72.75,0.025414,41.042,61869.04,video_streaming,True
130,769.46,701.1,879.7,178.6,0.468267,6.598,15160.79,web_browsing,True
2799,1219.52,1143.98,1242.47,98.49,0.045314,24.442,139655.4,video_streaming,True
2672,1119.45,1100.17,1144.89,44.72,0.03312,30.879,96866.45,video_streaming,True
813,1380.42,1378.28,1400.22,21.94,0.001823,47.527,23613.62,bulk_transfer,True
1776,1109.24,1099.57,1173.03,73.46,0.027392,21.291,92527.91,video_streaming,True
391,526.01,239.77,663.77,424.0,1.032832,7.657,26861.92,web_browsing,True
197,752.08,714.99,825.06,110.07,0.202679,18.19,8145.27,web_browsing,True
984,1130.25,1111.81,1157.62,45.81,0.017928,24.884,44694.01,video_streaming,True
388,1422.22,1403.29,1424.54,21.25,0.001601,10.904,50606.61,bulk_transfer,True
334,683.18,580.76,740.1,159.34,0.314777,5.638,40474.01,web_browsing,True
1014,1251.76,1198.45,1325.02,126.56,0.024677,38.431,33027.45,video_streaming,True
1112,1232.69,1161.25,1276.04,114.79,0.011346,47.238,29017.57,video_streaming,True
815,1402.44,1389.55,1409.84,20.29,0.001059,40.053,28536.95,bulk_transfer,True
76,104.33,83.54,108.63,25.09,0.162057,10.451,758.67,dns_like_burst,True
65,702.07,483.85,949.72,465.87,1.221579,6.919,6596.02,web_browsing,True
1331,1404.46,1396.04,1417.85,21.81,0.000763,13.608,137368.01,bulk_transfer,True
86,96.92,81.54,128.55,47.01,0.171418,8.494,981.23,dns_like_burst,True
161,149.04,128.22,186.66,58.44,1.660153,38.958,615.92,interactive_ssh,True
2524,1232.85,1142.12,1279.83,137.71,0.020491,52.846,58882.6,video_streaming,True
1374,1117.32,1051.33,1176.45,125.12,0.021951,32.765,46854.62,video_streaming,True
483,1414.45,1413.38,1419.08,5.7,0.002817,16.366,41744.9,bulk_transfer,True
401,525.52,302.33,556.83,254.49,1.370061,22.434,9393.42,web_browsing,True
2360,1210.11,1187.86,1308.54,120.68,0.014585,59.58,47933.62,video_streaming,True
24,118.31,95.28,120.1,24.82,0.018245,13.646,208.08,dns_like_burst,True
1765,1262.8,1196.69,1297.42,100.74,0.03354,39.975,55756.38,video_streaming,True
148,175.72,122.58,182.4,59.81,1.423799,21.87,1189.14,interactive_ssh,True
122,171.42,119.97,212.99,93.02,1.133195,42.293,494.48,interactive_ssh,True
115,90.49,87.69,133.43,45.74,0.778605,21.775,477.88,interactive_ssh,True
199,501.49,405.0,506.07,101.07,1.345378,19.261,5181.43,web_browsing,True
151,61.93,51.77,99.01,47.24,1.014278,47.105,198.53,interactive_ssh,True
246,766.25,619.08,943.9,324.82,0.481289,36.193,5208.03,web_browsing,True
2207,1119.05,1087.59,1262.94,175.35,0.026588,44.65,55313.73,video_streaming,True
37,104.61,92.9,104.64,11.74,0.066919,9.555,405.09,dns_like_burst,True
133,484.8,259.81,513.96,254.16,1.370624,25.555,2523.17,web_browsing,True
178,142.59,98.25,178.73,80.48,1.784881,41.053,618.24,interactive_ssh,True
85,169.62,159.98,172.94,12.96,0.590826,54.167,266.18,interactive_ssh,True
1232,1406.85,1405.81,1409.34,3.53,0.002216,49.898,34735.34,bulk_transfer,True
1667,1418.96,1407.76,1424.73,16.98,0.002304,39.778,59464.49,bulk_transfer,True
2465,1172.82,1162.59,1207.88,45.29,0.024632,45.316,63796.84,video_streaming,True
123,155.0,113.45,228.28,114.83,1.412551,49.064,388.58,interactive_ssh,True
1587,1101.2,1053.67,1127.0,73.32,0.01082,35.673,48988.97,video_streaming,True
176,126.11,105.46,134.15,28.69,0.799277,40.404,549.34,interactive_ssh,True
186,75.02,56.21,107.4,51.18,1.776004,23.371,597.05,interactive_ssh,True
333,1389.29,1369.28,1389.44,20.16,0.001402,31.403,14732.32,bulk_transfer,True
61,851.97,810.89,1087.59,276.7,0.187821,12.197,4260.73,web_browsing,True
26,135.57,127.04,152.68,25.63,0.161884,10.982,320.96,dns_like_burst,True
699,1358.19,1352.74,1374.86,22.12,0.001359,32.442,29263.92,bulk_transfer,True
15,134.58,94.49,136.28,41.79,0.080617,8.025,251.57,dns_like_burst,True
1463,1413.28,1406.8,1432.52,25.72,0.001329,42.577,48562.4,bulk_transfer,True
467,1403.18,1400.3,1403.61,3.31,0.0016,19.155,34208.97,bulk_transfer,True
56,728.58,660.18,760.03,99.85,1.426731,26.371,1547.16,web_browsing,True
91,102.96,83.09,131.96,48.87,1.227379,41.168,227.58,interactive_ssh,True
924,1264.38,1181.21,1285.57,104.36,0.043098,55.231,21152.65,video_streaming,True
696,1397.53,1396.45,1408.78,12.33,0.002902,45.233,21503.95,bulk_transfer,True
187,554.35,359.21,635.98,276.77,1.114344,25.472,4069.65,web_browsing,True
18,130.41,101.57,165.2,63.64,0.144212,3.169,740.62,dns_like_burst,True
2992,1296.28,1257.62,1315.97,58.34,0.034747,51.605,75156.14,video_streaming,True
624,1388.01,1386.5,1400.81,14.31,0.00251,14.388,60197.34,bulk_transfer,True
911,1410.23,1402.9,1411.43,8.53,0.00172,58.891,21815.12,bulk_transfer,True
210,649.98,508.75,706.47,197.72,1.050768,5.441,25084.89,web_browsing,True
31,177.07,163.89,178.5,14.61,1.889252,29.395,186.74,interactive_ssh,True
297,439.86,262.13,465.67,203.53,1.427638,22.224,5878.37,web_browsing,True
25,60.42,20,64.31,44.31,1.170228,40.929,36.91,interactive_ssh,True
385,685.98,501.76,804.72,302.96,0.937002,29.322,9006.89,web_browsing,True
63,104.07,78.03,114.35,36.32,0.199264,6.463,1014.51,dns_like_burst,True
970,1381.61,1381.13,1382.35,1.22,0.002377,51.956,25794.35,bulk_transfer,True
385,859.32,837.21,1144.09,306.88,1.491971,31.344,10554.98,web_browsing,True
689,1103.02,1037.92,1127.24,89.33,0.041642,40.669,18687.24,video_streaming,True
1031,1364.94,1347.89,1374.42,26.53,0.002251,14.473,97232.03,bulk_transfer,True
1649,1272.04,1214.92,1303.41,88.48,0.02573,33.662,62313.11,video_streaming,True
1539,1130.16,1127.78,1157.24,29.47,0.01675,45.725,38038.95,video_streaming,True
1088,1428.91,1415.56,1452.32,36.76,0.002929,29.792,52183.87,bulk_transfer,True
2856,1203.62,1170.74,1325.46,154.72,0.013373,41.033,83774.65,video_streaming,True
368,570.14,459.0,752.52,293.52,1.190105,16.016,13099.8,web_browsing,True
127,169.85,128.41,213.19,84.78,1.370263,15.463,1395.03,interactive_ssh,True
75,535.21,478.97,795.7,316.73,1.055999,37.96,1057.45,web_browsing,True
257,1426.0,1412.16,1434.48,22.32,0.002031,35.278,10388.5,bulk_transfer,True
56,136.88,122.31,146.15,23.85,1.433292,28.542,268.56,interactive_ssh,True
1983,1428.0,1409.09,1447.02,37.93,0.001481,29.949,94551.52,bulk_transfer,True
1018,1414.58,1402.78,1419.97,17.19,0.002536,58.402,24657.39,bulk_transfer,True
66,94.79,92.83,118.97,26.14,0.197968,10.81,578.75,dns_like_burst,True
271,1396.41,1394.64,1401.47,6.83,0.000987,13.143,28793.86,bulk_transfer,True
338,450.74,343.35,540.84,197.49,1.018862,37.813,4029.06,web_browsing,True
199,130.05,126.66,155.14,28.48,0.686323,31.626,818.31,interactive_ssh,True
241,1424.97,1411.73,1433.04,21.31,0.00181,28.843,11906.3,bulk_transfer,True
760,1205.99,1125.61,1333.4,207.79,0.013093,58.672,15621.56,video_streaming,True
855,1185.2,1121.24,1239.04,117.79,0.044885,40.333,25124.28,video_streaming,True
1687,1414.97,1380.52,1420.78,40.26,0.001585,53.587,44545.2,bulk_transfer,True
2833,1138.32,1045.19,1155.25,110.06,0.024894,44.952,71740.12,video_streaming,True
1596,1112.91,997.08,1209.17,212.09,0.048824,38.644,45963.67,video_streaming,True
317,1429.96,1417.0,1459.07,42.07,0.001172,10.842,41810.94,bulk_transfer,True
1324,1370.34,1339.8,1387.28,47.48,0.001527,40.746,44528.25,bulk_transfer,True
229,702.43,698.79,723.17,24.38,0.365927,36.671,4386.48,web_browsing,True
50,109.51,77.75,148.22,70.46,0.137247,7.111,770.08,dns_like_burst,True
1330,1175.03,1116.6,1241.49,124.89,0.030903,28.608,54627.64,video_streaming,True
23,109.68,84.04,136.38,52.35,0.144059,13.768,183.23,dns_like_burst,True
1119,1374.85,1368.12,1380.34,12.22,0.001806,44.104,34882.59,bulk_transfer,True
1250,1412.73,1409.95,1440.03,30.07,0.000848,36.188,48798.58,bulk_transfer,True
287,768.22,712.41,955.74,243.32,1.37943,35.048,6290.76,web_browsing,True
32,81.89,80.1,83.6,3.5,0.177637,7.148,366.61,dns_like_burst,True
149,137.71,90.22,165.7,75.49,1.262864,13.188,1555.84,interactive_ssh,True
296,358.26,211.72,374.25,162.53,1.013119,24.937,4252.59,web_browsing,True
412,1398.15,1390.24,1403.86,13.62,0.002962,32.031,17983.6,bulk_transfer,True
41,139.11,79.44,209.04,129.61,1.781668,12.853,443.75,interactive_ssh,True
51,104.4,91.55,162.2,70.65,0.066146,12.038,442.31,dns_like_burst,True
1878,1276.34,1233.85,1397.32,163.48,0.035399,25.759,93052.84,video_streaming,True
33,119.73,45.8,130.09,84.29,1.660666,31.054,127.24,interactive_ssh,True
146,131.11,84.71,143.89,59.19,1.367011,17.945,1066.69,interactive_ssh,True
57,147.57,98.98,176.01,77.03,1.563853,33.029,254.66,interactive_ssh,True
82,86.85,79.97,94.13,14.17,0.090681,14.236,500.29,dns_like_burst,True
20,80.93,65.86,91.48,25.62,0.108697,2.267,713.86,dns_like_burst,True
58,870.59,747.72,988.62,240.9,0.675129,15.481,3261.7,web_browsing,True
1504,1210.77,1198.37,1312.87,114.49,0.014725,24.932,73038.93,video_streaming,True
182,70.5,69.99,127.07,57.08,1.215673,16.633,771.39,interactive_ssh,True
1784,1416.44,1395.62,1436.28,40.66,0.001234,38.344,65901.3,bulk_transfer,True
148,726.13,329.67,867.98,538.31,0.711446,30.634,3508.06,web_browsing,True
177,161.56,149.43,183.91,34.48,0.827205,29.987,953.62,interactive_ssh,True
120,115.45,68.34,194.59,126.26,0.603342,49.92,277.54,interactive_ssh,True
59,128.96,113.77,144.8,31.03,0.074558,12.7,599.1,dns_like_burst,True
1347,1124.54,1056.05,1194.77,138.72,0.047921,47.48,31903.11,video_streaming,True
100,79.09,70.78,102.77,31.99,0.159618,9.215,858.31,dns_like_burst,True
112,175.94,129.47,190.06,60.59,1.533093,54.805,359.55,interactive_ssh,True
288,1402.69,1402.17,1409.89,7.73,0.000904,12.519,32269.0,bulk_transfer,True
393,557.43,241.62,820.03,578.42,0.864562,17.338,12634.87,web_browsing,True
2306,1169.59,1169.43,1239.88,70.46,0.047193,19.185,140585.24,video_streaming,True
114,164.63,142.48,190.97,48.49,1.565199,53.123,353.29,interactive_ssh,True
27,112.87,103.29,148.13,44.85,0.120757,4.63,658.24,dns_like_burst,True
1393,1355.8,1351.66,1355.99,4.34,0.001584,13.493,139973.41,bulk_transfer,True
425,1384.01,1383.7,1384.11,0.41,0.000878,15.073,39023.01,bulk_transfer,True
145,154.55,131.62,221.05,89.43,1.441898,27.781,806.66,interactive_ssh,True
190,602.02,403.69,630.54,226.85,0.933938,6.129,18661.93,web_browsing,True
605,1136.46,1098.8,1218.76,119.97,0.025703,36.409,18884.21,video_streaming,True
123,60.66,56.87,138.88,82.02,1.551743,39.371,189.51,interactive_ssh,True
87,145.4,140.31,195.96,55.66,1.154079,49.423,255.96,interactive_ssh,True
1031,1415.6,1409.59,1433.78,24.19,0.001486,18.367,79463.88,bulk_transfer,True
58,114.05,99.37,122.22,22.84,0.100431,4.658,1420.23,dns_like_burst,True
1237,1380.78,1378.43,1391.35,12.93,0.000997,54.096,31573.68,bulk_transfer,True
222,520.28,141.43,610.67,469.24,0.325559,23.582,4897.82,web_browsing,True
11,116.77,109.04,138.94,29.89,0.115117,5.458,235.32,dns_like_burst,True
188,177.69,136.93,184.03,47.1,0.653065,42.225,791.15,interactive_ssh,True
183,159.68,148.1,199.33,51.24,1.994208,47.994,608.87,interactive_ssh,True
169,111.43,81.75,136.57,54.82,1.527233,40.089,469.73,interactive_ssh,True
531,1357.52,1330.1,1357.62,27.52,0.001876,32.649,22078.31,bulk_transfer,True
1153,1408.56,1396.44,1412.23,15.79,0.002486,44.95,36130.71,bulk_transfer,True
892,1425.21,1405.61,1425.44,19.83,0.0014,44.338,28672.88,bulk_transfer,True
72,123.33,93.35,131.78,38.43,0.163089,5.396,1645.81,dns_like_burst,True
74,123.31,115.46,129.8,14.34,0.178043,9.041,1009.28,dns_like_burst,True
381,322.97,20,550.87,530.87,1.223808,6.332,19432.64,web_browsing,True
1634,1237.63,1194.63,1299.31,104.68,0.031952,46.063,43902.64,video_streaming,True
294,645.36,285.92,810.85,524.93,1.332544,26.619,7127.91,web_browsing,True
1409,1440.49,1437.55,1448.39,10.84,0.002566,59.015,34391.82,bulk_transfer,True
1607,1279.82,1272.33,1325.51,53.19,0.010923,22.405,91793.49,video_streaming,True
31,95.05,83.65,102.12,18.47,0.069005,3.775,780.49,dns_like_burst,True
1729,1445.25,1431.34,1455.59,24.26,0.002975,51.622,48406.23,bulk_transfer,True
149,61.83,59.92,91.12,31.21,1.615818,57.235,160.96,interactive_ssh,True
100,698.18,641.47,792.14,150.66,0.14115,20.342,3432.21,web_browsing,True
2666,1100.19,1097.38,1217.75,120.36,0.030405,41.653,70417.05,video_streaming,True
21,121.83,116.74,143.24,26.5,0.142019,4.881,524.15,dns_like_burst,True
77,90.05,86.38,94.48,8.1,0.087699,5.599,1238.37,dns_like_burst,True
2681,1187.98,1170.21,1255.1,84.88,0.01295,26.629,119605.12,video_streaming,True
425,1150.39,1145.44,1214.19,68.75,0.019255,24.144,20249.72,video_streaming,True
396,641.39,595.01,680.59,85.57,0.132643,23.104,10993.23,web_browsing,True
1154,1396.63,1373.28,1418.15,44.87,0.000998,58.906,27360.67,bulk_transfer,True
246,396.57,268.75,493.97,225.22,0.293645,8.89,10974.38,web_browsing,True
89,130.67,122.27,137.74,15.46,0.094977,3.261,3566.53,dns_like_burst,True
203,748.81,566.69,870.25,303.56,0.985527,7.381,20594.36,web_browsing,True
2201,1231.26,1223.0,1263.33,40.33,0.047218,30.379,89206.83,video_streaming,True
941,1195.47,1101.47,1236.94,135.47,0.048171,21.144,53204.78,video_streaming,True
236,714.95,410.88,749.47,338.6,1.343294,9.167,18406.24,web_browsing,True
167,302.94,75.96,403.0,327.04,0.413849,30.847,1640.06,web_browsing,True
1891,1437.39,1427.17,1439.21,12.03,0.001753,48.184,56410.97,bulk_transfer,True
124,501.25,469.52,637.77,168.24,1.282352,26.675,2330.11,web_browsing,True
1216,1368.29,1360.33,1391.53,31.21,0.002557,48.64,34207.02,bulk_transfer,True
159,612.07,464.56,654.31,189.75,0.955429,27.7,3513.33,web_browsing,True
363,1113.09,1075.94,1161.26,85.32,0.044562,17.699,22828.57,video_streaming,True
25,99.56,77.85,112.77,34.92,0.083599,8.071,308.38,dns_like_burst,True
79,156.9,156.42,159.17,2.76,0.894567,31.125,398.23,interactive_ssh,True
2598,1247.44,1225.66,1283.8,58.14,0.038817,48.69,66560.71,video_streaming,True
152,78.78,64.36,96.39,32.03,1.956038,50.782,235.79,interactive_ssh,True
385,1405.1,1387.06,1412.13,25.07,0.002869,41.531,13025.49,bulk_transfer,True
653,1376.5,1370.97,1381.12,10.15,0.002059,40.505,22191.28,bulk_transfer,True
277,581.5,405.62,655.53,249.91,0.200124,12.784,12599.62,web_browsing,True
223,674.75,544.99,788.69,243.7,0.995254,12.2,12333.31,web_browsing,True
545,1244.55,1201.44,1321.21,119.77,0.032601,33.951,19978.02,video_streaming,True
462,502.1,345.53,679.66,334.13,0.300787,30.748,7544.22,web_browsing,True
1923,1152.22,1129.73,1308.41,178.68,0.018113,48.743,45456.95,video_streaming,True
1005,1394.96,1391.89,1407.62,15.74,0.000783,13.968,100367.49,bulk_transfer,True
325,784.28,619.24,940.65,321.42,0.15813,33.803,7540.53,web_browsing,True
2737,1146.33,1120.73,1158.27,37.54,0.010797,59.585,52655.69,video_streaming,True
16,117.36,109.19,146.13,36.94,0.170847,12.117,154.97,dns_like_burst,True
164,168.7,164.03,190.2,26.17,1.746992,41.658,664.13,interactive_ssh,True
27,135.51,125.47,149.07,23.6,0.17809,3.845,951.67,dns_like_burst,True
44,114.01,83.2,151.58,68.38,0.021974,4.491,1116.87,dns_like_burst,True
14,113.49,113.4,137.73,24.33,0.092401,14.361,110.63,dns_like_burst,True
62,142.34,137.23,170.15,32.92,1.749554,40.522,217.78,interactive_ssh,True
74,167.49,138.0,197.7,59.69,0.513991,43.468,285.14,interactive_ssh,True
207,1445.0,1438.62,1458.9,20.28,0.002318,30.809,9708.64,bulk_transfer,True
1546,1443.75,1433.21,1459.45,26.24,0.000553,49.968,44669.37,bulk_transfer,True
1612,1166.87,1160.31,1167.62,7.31,0.049547,27.36,68749.55,video_streaming,True
477,1164.39,1087.03,1255.82,168.79,0.027122,33.451,16603.76,video_streaming,True
181,78.78,51.91,116.03,64.12,0.529486,52.927,269.4,interactive_ssh,True
2933,1251.41,1172.02,1264.28,92.26,0.028502,35.798,102530.19,video_streaming,True
1258,1148.71,1137.48,1219.8,82.32,0.042766,51.961,27810.6,video_streaming,True
1762,1294.11,1258.97,1383.34,124.37,0.046878,52.736,43238.12,video_streaming,True
413,516.14,407.34,592.27,184.93,1.266897,22.352,9537.0,web_browsing,True
1563,1150.42,1071.25,1188.84,117.58,0.048633,18.308,98217.1,video_streaming,True
71,105.43,101.31,118.64,17.32,0.027516,12.476,599.99,dns_like_burst,True
84,79.05,53.52,98.47,44.95,1.72344,17.179,386.55,interactive_ssh,True
679,1363.29,1332.64,1370.97,38.33,0.001087,36.928,25066.89,bulk_transfer,True
73,138.57,111.16,150.95,39.8,0.138233,9.603,1053.4,dns_like_burst,True
326,1382.6,1363.63,1384.8,21.17,0.002461,15.305,29448.75,bulk_transfer,True
45,101.61,87.65,149.31,61.67,0.824861,53.112,86.09,interactive_ssh,True
371,691.78,658.53,694.85,36.32,0.758425,30.916,8301.57,web_browsing,True
1920,1359.36,1356.46,1382.36,25.9,0.000662,46.558,56058.51,bulk_transfer,True
33,60.52,20,63.2,43.2,1.695158,19.226,103.88,interactive_ssh,True
62,77.39,66.25,113.72,47.48,1.467333,41.485,115.66,interactive_ssh,True
414,1269.62,1252.69,1366.6,113.91,0.037654,21.611,24321.68,video_streaming,True
94,120.28,118.15,123.02,4.88,0.145034,11.031,1024.96,dns_like_burst,True
2156,1211.86,1164.41,1268.24,103.83,0.020957,26.381,99039.11,video_streaming,True
39,92.47,87.47,100.67,13.21,0.116778,6.699,538.33,dns_like_burst,True
231,518.18,504.18,598.83,94.66,1.203171,13.808,8669.1,web_browsing,True
1167,1391.49,1389.2,1402.79,13.58,0.002347,42.641,38082.34,bulk_transfer,True
398,654.23,396.91,764.97,368.06,1.198202,35.479,7339.11,web_browsing,True
371,398.19,85.99,740.11,654.12,0.528047,6.548,22559.2,web_browsing,True
171,151.41,120.27,245.87,125.61,1.300841,43.208,599.23,interactive_ssh,True
1778,1165.85,1139.15,1290.13,150.98,0.033569,16.965,122189.68,video_streaming,True
2761,1109.72,1010.81,1158.91,148.1,0.033019,47.356,64700.58,video_streaming,True
78,133.61,97.7,174.13,76.43,0.192745,10.058,1036.11,dns_like_burst,True
61,160.89,110.49,171.18,60.68,1.497951,52.028,188.64,interactive_ssh,True
49,119.74,77.56,134.31,56.75,0.085538,3.28,1788.62,dns_like_burst,True
39,130.28,114.58,151.11,36.53,0.15185,4.136,1228.37,dns_like_burst,True
195,158.08,127.79,174.66,46.87,1.594163,18.3,1684.49,interactive_ssh,True
1683,1134.9,1064.98,1215.93,150.95,0.013488,42.576,44862.24,video_streaming,True
2671,1174.4,1119.98,1204.66,84.68,0.031199,40.417,77612.21,video_streaming,True
57,83.0,58.0,112.5,54.5,0.186074,4.19,1129.14,dns_like_burst,True
22,158.26,125.82,179.13,53.31,1.431521,13.897,250.54,interactive_ssh,True
54,130.87,129.62,136.82,7.2,0.033379,8.417,839.62,dns_like_burst,True
389,656.92,519.55,884.94,365.4,0.106293,22.117,11554.16,web_browsing,True
2256,1252.66,1244.27,1303.59,59.32,0.040904,58.982,47912.75,video_streaming,True
153,176.63,150.65,264.77,114.13,1.841267,14.271,1893.62,interactive_ssh,True
32,92.04,62.42,113.87,51.45,0.067699,9.833,299.51,dns_like_burst,True
763,1435.43,1434.49,1440.22,5.73,0.002155,41.748,26234.19,bulk_transfer,True
18,118.46,80.39,123.16,42.77,0.184087,8.74,243.96,dns_like_burst,True
243,568.64,566.51,884.52,318.01,1.120406,31.244,4422.65,web_browsing,True
372,372.66,350.74,379.83,29.09,0.845076,29.433,4709.94,web_browsing,True
79,81.46,78.63,95.86,17.23,0.059453,14.527,442.99,dns_like_burst,True
32,95.57,61.28,99.05,37.77,1.948936,53.515,57.15,interactive_ssh,True
161,810.05,720.53,1208.56,488.04,1.274972,15.656,8330.52,web_browsing,True
174,422.67,233.75,667.51,433.76,0.237283,35.716,2059.13,web_browsing,True
2510,1151.42,1145.59,1170.16,24.57,0.031474,31.821,90821.39,video_streaming,True
92,113.46,89.15,127.25,38.1,0.129367,12.482,836.29,dns_like_burst,True
753,1425.58,1413.18,1452.01,38.83,0.00219,57.3,18734.01,bulk_transfer,True
707,1419.92,1394.35,1445.0,50.65,0.001149,37.976,26434.93,bulk_transfer,True
261,701.2,557.54,722.07,164.53,0.326908,33.981,5385.76,web_browsing,True
338,1370.52,1357.79,1372.96,15.17,0.00255,21.54,21505.43,bulk_transfer,True
190,782.17,596.44,797.57,201.12,0.576998,24.039,6182.16,web_browsing,True
23,70.3,67.69,96.73,29.04,0.104598,14.516,111.39,dns_like_burst,True
881,1449.65,1441.83,1452.19,10.37,0.000981,14.536,87862.11,bulk_transfer,True
2122,1140.77,1129.81,1176.97,47.15,0.044325,20.601,117505.73,video_streaming,True
72,136.97,102.06,139.53,37.48,0.071144,6.671,1478.36,dns_like_burst,True
77,122.25,106.37,132.65,26.28,0.079665,2.976,3162.98,dns_like_burst,True
660,1155.0,1138.58,1218.13,79.55,0.014472,43.559,17500.61,video_streaming,True
67,110.61,92.91,149.2,56.3,1.462647,56.693,130.72,interactive_ssh,True
663,1140.34,1046.12,1189.73,143.61,0.034714,31.723,23832.76,video_streaming,True
194,69.96,20,83.88,63.88,1.437916,18.695,725.98,interactive_ssh,True
330,886.89,725.84,1105.08,379.24,1.047096,18.317,15978.26,web_browsing,True
123,84.44,20,87.62,67.62,1.135632,51.018,203.58,interactive_ssh,True
83,80.47,70.96,93.57,22.61,0.128066,3.443,1939.79,dns_like_burst,True
59,84.08,78.6,105.63,27.03,0.114126,9.966,497.76,dns_like_burst,True
861,1272.53,1199.83,1307.82,107.99,0.017207,56.508,19389.22,video_streaming,True
69,64.93,20,90.64,70.64,0.557193,51.91,86.31,interactive_ssh,True
159,133.41,91.68,171.0,79.32,1.544605,39.815,532.76,interactive_ssh,True
39,109.91,106.72,124.91,18.19,0.092637,10.896,393.4,dns_like_burst,True
493,1174.47,1094.24,1182.14,87.9,0.018525,28.497,20318.51,video_streaming,True
33,79.67,65.08,110.72,45.64,0.145207,4.557,576.87,dns_like_burst,True
